Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Eastern Africa","Production","Wine","2018","4326.04"
"Crops and livestock products","Eastern Africa","Production","Wine","2019","4960.64"
"Crops and livestock products","Eastern Africa","Production","Wine","2020","11194.42"
"Crops and livestock products","Eastern Africa","Production","Wine","2021","10956.61"
"Crops and livestock products","Eastern Africa","Production","Wine","2022",""
"Crops and livestock products","Middle Africa","Production","Wine","2018",""
"Crops and livestock products","Middle Africa","Production","Wine","2019",""
"Crops and livestock products","Middle Africa","Production","Wine","2020",""
"Crops and livestock products","Middle Africa","Production","Wine","2021",""
"Crops and livestock products","Middle Africa","Production","Wine","2022",""
"Crops and livestock products","Northern Africa","Production","Wine","2018","97735.05"
"Crops and livestock products","Northern Africa","Production","Wine","2019","89803.9"
"Crops and livestock products","Northern Africa","Production","Wine","2020","77265.89"
"Crops and livestock products","Northern Africa","Production","Wine","2021","75857.61"
"Crops and livestock products","Northern Africa","Production","Wine","2022",""
"Crops and livestock products","Southern Africa","Production","Wine","2018","950300"
"Crops and livestock products","Southern Africa","Production","Wine","2019","973500"
"Crops and livestock products","Southern Africa","Production","Wine","2020","1040000"
"Crops and livestock products","Southern Africa","Production","Wine","2021","1133300"
"Crops and livestock products","Southern Africa","Production","Wine","2022",""
"Crops and livestock products","Western Africa","Production","Wine","2018",""
"Crops and livestock products","Western Africa","Production","Wine","2019",""
"Crops and livestock products","Western Africa","Production","Wine","2020",""
"Crops and livestock products","Western Africa","Production","Wine","2021",""
"Crops and livestock products","Western Africa","Production","Wine","2022",""
"Crops and livestock products","Northern America","Production","Wine","2018","2454292.56"
"Crops and livestock products","Northern America","Production","Wine","2019","2700432.27"
"Crops and livestock products","Northern America","Production","Wine","2020","2071771.15"
"Crops and livestock products","Northern America","Production","Wine","2021","2122378.36"
"Crops and livestock products","Northern America","Production","Wine","2022",""
"Crops and livestock products","Central America","Production","Wine","2018","38573"
"Crops and livestock products","Central America","Production","Wine","2019","36735"
"Crops and livestock products","Central America","Production","Wine","2020","39484"
"Crops and livestock products","Central America","Production","Wine","2021","43376"
"Crops and livestock products","Central America","Production","Wine","2022",""
"Crops and livestock products","Caribbean","Production","Wine","2018",""
"Crops and livestock products","Caribbean","Production","Wine","2019",""
"Crops and livestock products","Caribbean","Production","Wine","2020","4498.55"
"Crops and livestock products","Caribbean","Production","Wine","2021","4498.55"
"Crops and livestock products","Caribbean","Production","Wine","2022",""
"Crops and livestock products","South America","Production","Wine","2018","3300353.7"
"Crops and livestock products","South America","Production","Wine","2019","3029899.31"
"Crops and livestock products","South America","Production","Wine","2020","2602712.94"
"Crops and livestock products","South America","Production","Wine","2021","3109185.08"
"Crops and livestock products","South America","Production","Wine","2022",""
"Crops and livestock products","Central Asia","Production","Wine","2018","129105.02"
"Crops and livestock products","Central Asia","Production","Wine","2019","121525.66"
"Crops and livestock products","Central Asia","Production","Wine","2020","119864.24"
"Crops and livestock products","Central Asia","Production","Wine","2021","94837.94"
"Crops and livestock products","Central Asia","Production","Wine","2022",""
"Crops and livestock products","Eastern Asia","Production","Wine","2018","2307417.06"
"Crops and livestock products","Eastern Asia","Production","Wine","2019","2151980.33"
"Crops and livestock products","Eastern Asia","Production","Wine","2020","2080791.45"
"Crops and livestock products","Eastern Asia","Production","Wine","2021","1864244.1"
"Crops and livestock products","Eastern Asia","Production","Wine","2022",""
"Crops and livestock products","Southern Asia","Production","Wine","2018",""
"Crops and livestock products","Southern Asia","Production","Wine","2019",""
"Crops and livestock products","Southern Asia","Production","Wine","2020",""
"Crops and livestock products","Southern Asia","Production","Wine","2021",""
"Crops and livestock products","Southern Asia","Production","Wine","2022",""
"Crops and livestock products","South-eastern Asia","Production","Wine","2018","14085.14"
"Crops and livestock products","South-eastern Asia","Production","Wine","2019","12474"
"Crops and livestock products","South-eastern Asia","Production","Wine","2020","9821.59"
"Crops and livestock products","South-eastern Asia","Production","Wine","2021","18613.95"
"Crops and livestock products","South-eastern Asia","Production","Wine","2022",""
"Crops and livestock products","Western Asia","Production","Wine","2018","179738.73"
"Crops and livestock products","Western Asia","Production","Wine","2019","209216.6"
"Crops and livestock products","Western Asia","Production","Wine","2020","436966.99"
"Crops and livestock products","Western Asia","Production","Wine","2021","421932.18"
"Crops and livestock products","Western Asia","Production","Wine","2022",""
"Crops and livestock products","Eastern Europe","Production","Wine","2018","1411415"
"Crops and livestock products","Eastern Europe","Production","Wine","2019","1636920"
"Crops and livestock products","Eastern Europe","Production","Wine","2020","1554022.01"
"Crops and livestock products","Eastern Europe","Production","Wine","2021","1701410.57"
"Crops and livestock products","Eastern Europe","Production","Wine","2022",""
"Crops and livestock products","Northern Europe","Production","Wine","2018","7843.53"
"Crops and livestock products","Northern Europe","Production","Wine","2019","8991.29"
"Crops and livestock products","Northern Europe","Production","Wine","2020","7672.89"
"Crops and livestock products","Northern Europe","Production","Wine","2021","9154.93"
"Crops and livestock products","Northern Europe","Production","Wine","2022",""
"Crops and livestock products","Southern Europe","Production","Wine","2018","11037703.77"
"Crops and livestock products","Southern Europe","Production","Wine","2019","9504117.95"
"Crops and livestock products","Southern Europe","Production","Wine","2020","10368301.95"
"Crops and livestock products","Southern Europe","Production","Wine","2021","10012262.66"
"Crops and livestock products","Southern Europe","Production","Wine","2022",""
"Crops and livestock products","Western Europe","Production","Wine","2018","5940372.06"
"Crops and livestock products","Western Europe","Production","Wine","2019","4955893.39"
"Crops and livestock products","Western Europe","Production","Wine","2020","5212303.34"
"Crops and livestock products","Western Europe","Production","Wine","2021","4500093.13"
"Crops and livestock products","Western Europe","Production","Wine","2022",""
"Crops and livestock products","Australia and New Zealand","Production","Wine","2018","1586700"
"Crops and livestock products","Australia and New Zealand","Production","Wine","2019","1494400"
"Crops and livestock products","Australia and New Zealand","Production","Wine","2020","1436000"
"Crops and livestock products","Australia and New Zealand","Production","Wine","2021","1748400"
"Crops and livestock products","Australia and New Zealand","Production","Wine","2022",""
"Crops and livestock products","Melanesia","Production","Wine","2018",""
"Crops and livestock products","Melanesia","Production","Wine","2019",""
"Crops and livestock products","Melanesia","Production","Wine","2020",""
"Crops and livestock products","Melanesia","Production","Wine","2021",""
"Crops and livestock products","Melanesia","Production","Wine","2022",""
"Crops and livestock products","Micronesia","Production","Wine","2018",""
"Crops and livestock products","Micronesia","Production","Wine","2019",""
"Crops and livestock products","Micronesia","Production","Wine","2020",""
"Crops and livestock products","Micronesia","Production","Wine","2021",""
"Crops and livestock products","Micronesia","Production","Wine","2022",""
"Crops and livestock products","Polynesia","Production","Wine","2018",""
"Crops and livestock products","Polynesia","Production","Wine","2019",""
"Crops and livestock products","Polynesia","Production","Wine","2020",""
"Crops and livestock products","Polynesia","Production","Wine","2021",""
"Crops and livestock products","Polynesia","Production","Wine","2022",""
